Obj;1536.2238600946498;Completo;1611.2238600946498;gap;0.9622777318697245
vehicle;node;node;ebattery;time;speed;demand;dist;service time;ready;due;b;beta;resbatt;arr time;w
0;D0;C7;0.004254740840000042;12.717828819163206;100.0;5.0;21.213203435596427;10.0;74.0;112.0;0;0;0.5081872575041558;96.6081675250414;0.0
0;C7;C8;0.004246714990000053;7.318125490278251;100.0;9.0;12.206555615733702;10.0;27.0;123.0;0;0;0.4563494947945504;113.92629301531964;0.0
0;C8;C13;0.004232268460000035;16.13154638784526;100.0;23.0;26.90724809414742;10.0;117.0;208.0;0;0;0.3424707973402941;140.0578394031649;0.0
0;C13;C6;0.004195349550000033;4.239276273054399;100.0;3.0;7.0710678118654755;10.0;35.0;165.0;0;0;0.31280519617776453;154.2971156762193;0.0
0;C6;C18;0.004190534040000041;6.702884326780861;100.00000000000047;12.0;11.180339887498949;10.0;93.0;171.0;0;0;0.26595360130042994;171.0;0.0
0;C18;D4;0.004171272000000031;9.479309921951595;100.0;0.0;15.811388300841896;0.0;0.0;230.0;0;0;0;190.4793099219516;0
1;D1;C3;0.004192139210062125;13.405768652561793;100.00000000705082;13.0;22.360679774997898;10.0;23.0;197.0;0;0;0.6955915679682262;39.692200151797415;0.0
1;C3;C1;0.004171272000000045;8.729204114565976;100.0;10.0;14.560219778561036;10.0;18.0;64.0;0;0;0.6348569308920677;58.42140426636339;0.0
1;C1;C20;0.004283633900000028;9.887606406855719;100.0;9.0;16.492422502470642;10.0;32.0;85.0;0;0;0.5642094307673611;78.3090106732191;0.0
1;C20;C9;0.004269187370000038;6.702884326780894;100.0;16.0;11.180339887498949;10.0;68.0;187.0;0;0;0.516478464927343;95.011895;0.0
1;C9;C10;0.004243504650000042;14.988105000000003;100.0;16.0;25.0;10.0;120.0;194.0;0;0;0.41039084867734205;120.0;0.0
1;C10;C11;0.004217821930000046;6.702884326780894;100.0;12.0;11.180339887498949;10.0;78.0;168.0;0;0;0.3632341659149948;136.7028843277811;0.0
1;C11;C19;0.0041985598900000365;4.239276273054399;100.0;17.0;7.0710678118654755;10.0;84.0;187.0;0;0;0.3335458642206261;150.9421606008355;0.0
1;C19;D0;0.004171272000000038;19.1941396797377;100.0;0.0;32.01562118716424;0.0;0.0;230.0;0;0;0;180.1363002805732;0
2;D2;S13;0.004291659750093417;8.91256797188112;100.00000001060553;0;14.866068747318506;0;0.0;230.0;0.0;0.0;0.8;8.91256797188112;0.0
2;S13;C5;0.00429165975013487;6.172479422771115;100.00000001531352;26.0;10.295630140987;10.0;58.0;199.0;0;0;0.5307378712265404;58.0;0.0
2;C5;C17;0.004249925330000043;5.995242000000003;100.0;2.0;10.0;10.0;43.0;113.0;0;0;0.48823861792654;73.995242;0.0
2;C17;C16;0.004246714989996833;6.702884326780875;100.00000000000027;19.0;11.180339887498949;10.0;30.0;142.0;0;0;0.4407589009330387;90.69812632678088;0.0
2;C16;C14;0.004216216759996824;6.702884326780894;100.0;20.0;11.180339887498949;10.0;33.0;137.0;0;0;0.3936201645169046;107.40101065356177;0.0
2;C14;C15;0.004184113360000047;9.479309921951568;100.00000000000027;8.0;15.811388300841896;10.0;88.0;150.0;0;0;0.3274635234872037;126.88032057551334;0.0
2;C15;S15;0.004171272000089457;9.307118414435525;100.00000001015594;0;15.524174696260024;0;0.0;230.0;0.0;0.0;0;146.18743898994887;0
2;S15;D1;0.004171272000092376;9.012824983606922;100.00000001048745;0.0;15.033296378372908;0.0;0.0;230.0;0;0;0;155.2002639735558;0
4;D4;C2;0.00435105104000004;10.791435600000003;100.0;7.0;18.0;10.0;40.0;164.0;0;0;0.6310880500586014;46.05455226670987;0.0
4;C2;C21;0.004339814850000026;6.259216407509391;100.0;11.0;10.44030650891055;10.0;19.0;142.0;0;0;0.5857790528326794;62.31376867421926;0.0
4;C21;C22;0.0043221579800000465;5.995242000000003;100.0;18.0;10.0;10.0;27.0;119.0;0;0;0.542557473032679;78.30901067421927;0.0
4;C22;C23;0.004293264920000026;6.702884326780894;100.0;29.0;11.180339887498949;10.0;48.0;183.0;0;0;0.49455731200000264;95.01189500100016;0.0
4;C23;C4;0.004246714990000039;8.992863000000007;100.0;19.0;15.0;10.0;93.0;131.0;0;0;0.4308565871500021;114.00475800100017;0.0
4;C4;C25;0.004216216760000058;5.995242000000003;100.0;6.0;10.0;10.0;48.0;130.0;0;0;0.38869441955000167;130.00000000100016;0.0
4;C25;C24;0.004206585740000032;8.992863000000007;100.0;3.0;15.0;10.0;111.0;190.0;0;0;0.3255956334500011;148.99286300100016;0.0
4;C24;C12;0.00420177023000004;8.992863000000007;100.0;19.0;15.0;10.0;160.0;204.0;0;0;0.2625690800000005;167.98572600100016;0.0
4;C12;D2;0.004171272000000045;8.992863000000007;100.0;0.0;15.0;0.0;0.0;230.0;0;0;0;186.97858900100016;0
