Obj;1566.2561829588317;Completo;1641.2561829588317;gap;0.4993543155668123
vehicle;node;node;ebattery;time;speed;demand;dist;service time;ready;due;b;beta;resbatt;arr time;w
0;D0;C21;0.00435105104000004;10.80807621990764;100.0;11.0;18.027756377319946;10.0;19.0;49.0;0;0;0.7062626322160185;49.0;0.0
0;C21;C22;0.004096782674472846;8.196726638707993;73.12674389109709;18.0;10.0;10.0;40.0;70.0;0;0;0.6652948054712899;67.19672663870799;0.0
0;C22;C2;0.004081745000843712;9.803273361292014;74.70037557624555;7.0;12.206555615733702;10.0;87.0;117.0;0;0;0.6154707581092481;87.0;0.0
0;C2;C4;0.004293264920000046;12.124626590197604;100.0;19.0;20.223748416156685;10.0;97.0;127.0;0;0;0.5286448484832562;109.12462659019761;0.0
0;C4;C23;0.004262766690000044;8.992863000000007;100.0;29.0;15.0;10.0;109.0;139.0;0;0;0.4647033481332556;128.1174895901976;0.0
0;C23;C25;0.004216216760000037;10.80807621990764;100.0;6.0;18.027756377319946;10.0;127.0;157.0;0;0;0.38869441955000167;148.92556581010524;0.0
0;C25;C24;0.004206585740000032;8.992863000000007;100.0;3.0;15.0;10.0;160.0;190.0;0;0;0.3255956334500011;167.91842881010524;0.0
0;C24;C12;0.00420177023000004;8.992863000000007;100.0;19.0;15.0;10.0;167.0;197.0;0;0;0.2625690800000005;186.91129181010524;0.0
0;C12;D0;0.004171272000000045;8.992863000000007;100.0;0.0;15.0;0.0;0.0;230.0;0;0;0;205.90415481010524;0
1;D1;C1;0.004171272000000045;9.131680557349158;100.0;10.0;15.231546211727817;10.0;26.0;56.0;0;0;0.528664531887366;34.270795885434154;0.0
1;C1;C3;0.0042579511800000525;8.729204114565976;100.0;13.0;14.560219778561036;10.0;23.0;53.0;0;0;0.46666782690018205;53.0;0.0
1;C3;C9;0.003650096207879719;27.0;33.33260318098393;16.0;15.0;10.0;60.0;90.0;0;0;0.41191638378198636;90.0;0.0
1;C9;C20;0.003507023650000038;49.0;20.0;9.0;11.180339887498949;10.0;149.0;179.0;0;0;0.3727066673814888;149.0;0.0
1;C20;C10;0.004196954720000048;9.479309921951595;100.0;16.0;15.811388300841896;10.0;147.0;177.0;0;0;0.3063469866225169;168.47930992195145;0.0
1;C10;D1;0.004171272000000038;15.284927973355515;100.0;0.0;25.495097567963924;0.0;0.0;230.0;0;0;0;193.76423789530696;0
2;D2;C11;0.004249925330000039;20.108652980342686;100.0;12.0;33.54101966249684;10.0;51.0;81.0;0;0;0.4762050154924654;51.0;0.0
2;C11;C19;0.00423066329000002;4.239276273054399;100.0;17.0;7.0710678118654755;10.0;46.0;76.0;0;0;0.4462897084797052;65.2392762730544;0.0
2;C19;C7;0.004203375400000042;6.702884326780894;100.0;5.0;11.180339887498949;10.0;78.0;108.0;0;0;0.39929454283295296;81.94216059983529;0.0
2;C7;C6;0.0041953495500000465;12.359508008569644;100.0;3.0;20.615528128088304;10.0;85.0;115.0;0;0;0.3128051961777645;104.30166860840494;0.0
2;C6;C18;0.004190534040000041;6.702884326780894;100.0;12.0;11.180339887498949;10.0;117.0;147.0;0;0;0.26595360130042994;121.00455293518583;0.0
2;C18;D4;0.004171272000000031;9.479309921951595;100.0;0.0;15.811388300841896;0.0;0.0;230.0;0;0;0;140.4838628571374;0
4;D4;C8;0.004343025190000037;15.736796514529452;100.0;9.0;26.248809496813376;10.0;27.0;57.0;0;0;0.670394474716998;55.946709834051006;0.0
4;C8;C17;0.00432857866000004;8.35040583916819;100.0;2.0;13.92838827718412;10.0;63.0;93.0;0;0;0.6101043504521841;74.2971156732192;0.0
4;C17;C16;0.0043253683200000365;6.702884326780894;100.0;19.0;11.180339887498949;10.0;61.0;91.0;0;0;0.5617452624959633;91.0;0.0
4;C16;C15;0.00400934328671515;22.193480213113588;67.57116600131648;8.0;25.0;10.0;104.0;134.0;0;0;0.46151168032808465;123.19348021311359;0.0
4;C15;C14;0.004005947692741152;13.806519786886419;68.64397308956005;20.0;15.811388300841896;10.0;147.0;177.0;0;0;0.3981720858452926;147.0;0.0
4;C14;C5;0.00424992533000005;11.990484000000006;100.0;26.0;20.0;10.0;153.0;183.0;0;0;0.3131735792452917;168.990484;0.0
4;C5;C13;0.004208190910000034;9.479309921951595;100.0;23.0;15.811388300841896;10.0;178.0;208.0;0;0;0.2466362387232079;188.4697939219516;0.0
4;C13;D2;0.004171272000000045;6.702884326780894;100.0;0.0;11.180339887498949;0.0;0.0;230.0;0;0;0;205.1726782487325;0
