Obj;1575.3020138489446;Completo;1650.3020138489446;gap;0.9593801344115421
vehicle;node;node;ebattery;time;speed;demand;dist;service time;ready;due;b;beta;resbatt;arr time;w
0;D0;S19;0.004339814850000038;18.23381669883507;100.0;0;30.4138126514911;0;0.0;230.0;0.0;0.0;0.8;18.23381669883507;0.0
0;S19;C25;0.004339814850000038;1.89586198439032;100.0;6.0;3.1622776601683795;10.0;0.0;186.0;0;0;0.6518824839841739;83.84159575126752;0.0
0;C25;C4;0.004330183830000042;5.995242000000003;100.0;19.0;10.0;10.0;97.0;127.0;0;0;0.6085806456841736;99.83683775126752;0.0
0;C4;C23;0.004299685600000033;8.992863000000007;100.0;29.0;15.0;10.0;109.0;139.0;0;0;0.544085361684173;118.82970075126752;0.0
0;C23;C22;0.004253135670000033;6.702884326780894;100.0;18.0;11.180339887498949;10.0;0.0;193.0;0;0;0.49653385930592703;135.5325850780484;0.0
0;C22;C21;0.00422424261000004;5.995242000000003;100.0;11.0;10.0;10.0;0.0;201.0;0;0;0.45429143320592663;151.5278270780484;0.0
0;C21;C12;0.004206585740000046;9.479309921951595;100.0;19.0;15.811388300841896;10.0;167.0;197.0;0;0;0.3877794726500017;171.007137;0.0
0;C12;C24;0.004176087510000051;8.992863000000007;100.0;3.0;15.0;10.0;0.0;190.0;0;0;0.32513816000000106;190.0;0.0
0;C24;D3;0.004171272000000038;17.985726000000014;100.0;0.0;30.0;0.0;0.0;230.0;0;0;0;217.985726;0
1;D1;S13;0.004339814850000037;8.912567972881126;100.0;0;14.866068747318506;0;0.0;230.0;1.6546830001136527E-4;0.039712392002727664;0.8;8.912567972881126;0.0
1;S13;C16;0.004339814850000037;8.912567972881126;100.0;19.0;14.866068747318506;10.0;61.0;91.0;0;0;0.7106804201812591;69.90151835413332;0.0
1;C16;C17;0.004309316620000059;6.702884326780894;100.0;2.0;11.180339887498949;10.0;63.0;93.0;0;0;0.6625007956868105;86.60440268091423;0.0
1;C17;C2;0.0043061062800000376;19.60178271908576;100.0;7.0;32.69556544854363;10.0;0.0;202.0;0;0;0.5217102159806846;116.2061854;0.0
1;C2;C15;0.004294870090000041;7.793814600000005;100.0;8.0;13.0;10.0;104.0;134.0;0;0;0.46587690481068406;134.0;0.0
1;C15;C14;0.004282028730000026;9.479309921951595;100.0;20.0;15.811388300841896;10.0;147.0;177.0;0;0;0.39817208584529257;153.4793099219516;0.0
1;C14;C5;0.004249925330000043;11.990484000000006;100.0;26.0;20.0;10.0;0.0;199.0;0;0;0.3131735792452917;175.4697939219516;0.0
1;C5;C13;0.004208190910000034;9.479309921951595;100.0;23.0;15.811388300841896;10.0;0.0;208.0;0;0;0.2466362387232079;194.9491038439032;0.0
1;C13;D1;0.004171272000000045;6.702884326780894;100.0;0.0;11.180339887498949;0.0;0.0;230.0;0;0;0;211.6519881706841;0
3;D3;C3;0.004192139210000036;13.405768653561788;100.0;13.0;22.360679774997898;10.0;23.0;53.0;0;0;0.3242695593058452;23.0;0.0
3;C3;C1;0.004171272000000031;8.729204114565976;100.0;10.0;14.560219778561036;10.0;26.0;56.0;0;0;0.26353492222968683;41.729204114565974;0.0
3;C1;D4;0.004171272000000031;9.131680557349158;100.0;0.0;15.231546211727817;0.0;0.0;230.0;0;0;0;60.86088467191513;0
4;D4;S9;0.004330183830000038;10.80807621990764;100.0;0;18.027756377319946;0;0.0;230.0;2.84539494617445E-4;0.0682894787081868;0.8;10.80807621990764;0.0
4;S9;C18;0.004330183830000038;1.3405768653561805;100.0;12.0;2.23606797749979;10.0;0.0;204.0;0;0;0.7805433941529855;22.52554042034572;0.0
4;C18;C8;0.004310921790000047;6.259216407509391;100.0;9.0;10.44030650891055;10.0;27.0;57.0;0;0;0.7355360493294437;38.78475682785511;0.0
4;C8;C19;0.0042964752600000294;10.623595890520827;100.0;17.0;17.72004514666935;10.0;46.0;76.0;0;0;0.6594023137506952;59.40835271837594;0.0
4;C19;C11;0.004269187370000038;4.239276273054399;100.0;12.0;7.0710678118654755;10.0;51.0;81.0;0;0;0.6292146003558653;73.64762899143034;0.0
4;C11;C7;0.004249925330000029;8.992863000000007;100.0;5.0;15.0;10.0;78.0;108.0;0;0;0.5654657204058647;92.64049199143035;0.0
4;C7;C6;0.00424189948000004;12.359508008569644;100.0;3.0;20.615528128088304;10.0;85.0;115.0;0;0;0.47801672235940074;115.0;0.0
4;C6;C10;0.004237083970000041;18.23381669883507;100.0;16.0;30.4138126514911;10.0;0.0;194.0;0;0;0.3491508443071834;143.23381669883508;0.0
4;C10;C20;0.004211401250000052;9.479309921951595;100.0;9.0;15.811388300841896;10.0;149.0;179.0;0;0;0.28256274385278185;162.71312662078668;0.0
4;C20;C9;0.0041969547200000346;6.702884326780894;100.0;16.0;11.180339887498949;10.0;0.0;187.0;0;0;0.23563936359073842;179.41601094756757;0.0
4;C9;S3;0.004171272000000038;5.122337010208494;100.0;0;8.54400374531753;0;0.0;230.0;4.3554906961274E-4;0.10453177670705761;0;194.53834795777607;0
4;S3;D0;0.004171272000000038;15.024033389545632;100.0;0.0;25.059928172283335;0.0;0.0;230.0;0;0;0;209.5628168963913;0
