Obj;1318.7971104556746;Completo;1993.7971104556746;gap;0.17346904934919438
vehicle;node;node;ebattery;time;speed;demand;dist;service time;ready;due;b;beta;resbatt;arr time;w
0;D0;C21;0.004428099199990404;6.1139711893422035;100.0;20.0;10.198039027185569;90.0;11.0;73.0;0;0;0.5676402819925285;26.935067917379282;0.0
0;C21;C22;0.004395995800008046;1.1990484000000001;100.0;20.0;2.0;90.0;73.0;131.0;0;0;0.5588482903925123;118.13411631737928;0.0
0;C22;C12;0.004363892399993619;19.865883682621153;100.0;20.0;33.13608305156178;90.0;176.0;228.0;0;0;0.4142459893982444;228.0;0.0
0;C12;C14;0.0038918056176983074;3.5943372483317497;50.02869116826489;10.0;3.0;90.0;263.0;327.0;0;0;0.4025705725451496;321.5943372483317;0.0
0;C14;C16;0.003875753917699898;2.396224832221169;50.02869116826484;40.0;2.0;90.0;358.0;416.0;0;0;0.39481906470974987;413.9905620805529;0.0
0;C16;C19;0.003785313464136131;9.009437919447123;47.049192266883594;10.0;7.0710678118654755;90.0;455.0;513.0;0;0;0.368052856515676;513.0;127.0
0;C19;C15;0.003531101200000053;15.0;20.0;40.0;5.0;90.0;745.0;789.0;0;0;0.3503973505156758;745.0;0.0
0;C15;D0;0.00417127213003763;21.616152439815153;99.99999903284268;0.0;36.05551275463989;0.0;0.0;1236.0;0;0;0;856.6161524398142;0
1;D1;C20;0.004428099199987198;5.995242000000003;100.0;10.0;10.0;90.0;10.0;70.0;0;0;0.6275990571687147;45.002379;0.0
1;C20;C24;0.00441204749998883;2.9976210000000014;100.0;10.0;5.0;90.0;72.0;138.0;0;0;0.6055388196687707;138.0;0.0
1;C24;C25;0.003779493208724616;4.0;29.980443300384636;40.0;2.0;90.0;158.0;232.0;0;0;0.5979798332513215;232.0;159.76038277609314
1;C25;C18;0.0036274113999936186;75.23961722390675;20.0;20.0;25.079872407968907;90.0;557.0;601.0;0;0;0.5070048181682697;556.9999999999999;0.0
1;C18;C17;0.0037020934347746226;5.5969525092666546;32.12820337057738;20.0;3.0;90.0;633.0;711.0;0;0;0.4958985378639459;652.5969525092665;0.0
1;C17;C10;0.0036661680047105974;36.40304749073346;31.6941146018254;10.0;19.235384061671343;90.0;779.0;845.0;0;0;0.42537838825872615;779.0;0.0
1;C10;C11;0.004251530499985556;1.798572599999999;100.0;10.0;3.0;90.0;869.0;941.0;0;0;0.4126237967587694;870.7985725999994;0.0
1;C11;C9;0.0042354787999855925;1.89586198439032;100.0;10.0;3.1622776601683795;90.0;958.0;1040.0;0;0;0.39923003676945823;962.6944343439831;0.0
1;C9;C13;0.004219427217666875;10.049856857191083;99.999999502803;30.0;16.76305461424021;90.0;1042.0;1106.0;0;0;0.32849955285086685;1062.7442914895485;0.0
1;C13;D1;0.0041712719999855916;18.46884874051365;100.0;0.0;30.805843601498726;0.0;0.0;1236.0;0;0;0;1171.2131402300622;0
2;D2;C23;0.004187323700000037;7.793814600000005;100.0;10.0;13.0;90.0;13.0;70.0;0;0;0.437310900880025;37.16962182924357;0.0
2;C23;C1;0.004171272000000038;12.830378170756434;100.0;10.0;21.400934559032695;90.0;78.0;140.0;0;0;0.3480417817800988;140.0;0.0
2;C1;C2;0.0036595147999887168;269.0;20.0;30.0;2.0;90.0;499.0;553.0;0;0;0.3407227521801212;499.0;0.0
2;C2;C4;0.003935171859057396;3.806407073312417;56.77711035278956;10.0;3.605551275463989;90.0;584.0;656.0;0;0;0.32653428826452674;592.8064070733125;0.0
2;C4;C6;0.003919120159057432;2.3606334553839483;56.77711035278977;20.0;2.23606797749979;90.0;683.0;741.0;0;0;0.3177708691768845;685.1670405286964;0.0
2;C6;C7;0.0038646104513588297;3.3183472046498537;54.232303964106194;20.0;3.0;90.0;774.0;836.0;0;0;0.30617703782280786;778.4853877333462;0.0
2;C7;C3;0.0038549134289990183;2.111414750479501;56.777110352789464;10.0;2.0;90.0;863.0;931.0;0;0;0.2984672109648098;870.596802483826;0.0
2;C3;C5;0.003808212217624396;1.12466063997521;53.29608637461931;10.0;1.0;90.0;950.0;1026.0;0;0;0.29465899874718543;961.7214631238012;0.0
2;C5;C8;0.0038228099590654485;5.278536876198768;56.7771103527893;20.0;5.0;90.0;1057.0;1125.0;0;0;0.27554494895185816;1057.0;0.0
2;C8;D2;0.004171272000000038;10.857845061267449;100.0;0.0;18.110770276274835;0.0;0.0;1236.0;0;0;0;1157.8578450612665;0
